n;DFTRES;DFTRESscaled;DFTRESshifted;mcsta;mcstascaled;mcstashifted;modes;modesscaled;modesshifted;PET;PETscaled;PETshifted;PRISM;PRISMscaled;PRISMshifted;STAMINA;STAMINAscaled;STAMINAshifted;Storm-static;Storm-staticscaled;Storm-staticshifted;Storm;Stormscaled;Stormshifted
41;;;;31.348012685775757;31.348012685775757;31.348012685775757;;;;;;;181.72536993026733;181.72536993026733;181.72536993026733;;;;7.821901559829712;7.821901559829712;7.821901559829712;8.936333656311035;8.936333656311035;8.936333656311035
42;;;;31.618762731552124;31.618762731552124;31.618762731552124;;;;;;;213.5708451271057;213.5708451271057;213.5708451271057;;;;8.203090906143188;8.203090906143188;8.203090906143188;9.094918251037598;9.094918251037598;9.094918251037598
43;;;;34.61443734169006;34.61443734169006;34.61443734169006;;;;;;;402.1419200897217;402.1419200897217;402.1419200897217;;;;9.050022602081299;9.050022602081299;9.050022602081299;9.255388259887695;9.255388259887695;9.255388259887695
44;;;;43.00438332557678;43.00438332557678;43.00438332557678;;;;;;;547.5058174133301;547.5058174133301;547.5058174133301;;;;9.055410623550415;9.055410623550415;9.055410623550415;9.49097204208374;9.49097204208374;9.49097204208374
45;;;;45.813963890075684;45.813963890075684;45.813963890075684;;;;;;;569.9991035461426;569.9991035461426;569.9991035461426;;;;9.292776823043823;9.292776823043823;9.292776823043823;10.386704206466675;10.386704206466675;10.386704206466675
46;;;;46.12007546424866;46.12007546424866;46.12007546424866;;;;;;;1104.4370770454407;1104.4370770454407;1104.4370770454407;;;;9.500243186950684;9.500243186950684;9.500243186950684;10.40230393409729;10.40230393409729;10.40230393409729
47;;;;53.313454389572144;53.313454389572144;53.313454389572144;;;;;;;;;;;;;10.38874101638794;10.38874101638794;10.38874101638794;12.619495391845703;12.619495391845703;12.619495391845703
48;;;;63.01635217666626;63.01635217666626;63.01635217666626;;;;;;;;;;;;;11.700613737106323;11.700613737106323;11.700613737106323;13.673052310943604;13.673052310943604;13.673052310943604
49;;;;78.38766884803772;78.38766884803772;78.38766884803772;;;;;;;;;;;;;12.359553337097168;12.359553337097168;12.359553337097168;16.491640329360962;16.491640329360962;16.491640329360962
50;;;;78.92872262001038;78.92872262001038;78.92872262001038;;;;;;;;;;;;;12.389411687850952;12.389411687850952;12.389411687850952;19.453673124313354;19.453673124313354;19.453673124313354
51;;;;81.95500469207764;81.95500469207764;81.95500469207764;;;;;;;;;;;;;15.637234687805176;15.637234687805176;15.637234687805176;20.044816970825195;20.044816970825195;20.044816970825195
52;;;;102.77095222473145;102.77095222473145;102.77095222473145;;;;;;;;;;;;;18.395609378814697;18.395609378814697;18.395609378814697;20.760208129882812;20.760208129882812;20.760208129882812
53;;;;134.83462142944336;134.83462142944336;134.83462142944336;;;;;;;;;;;;;20.439354181289673;20.439354181289673;20.439354181289673;23.0513699054718;23.0513699054718;23.0513699054718
54;;;;144.26849842071533;144.26849842071533;144.26849842071533;;;;;;;;;;;;;20.685575485229492;20.685575485229492;20.685575485229492;23.343345642089844;23.343345642089844;23.343345642089844
55;;;;154.1444354057312;154.1444354057312;154.1444354057312;;;;;;;;;;;;;22.788467407226562;22.788467407226562;22.788467407226562;24.371739625930786;24.371739625930786;24.371739625930786
56;;;;156.24115753173828;156.24115753173828;156.24115753173828;;;;;;;;;;;;;23.03562355041504;23.03562355041504;23.03562355041504;24.77476143836975;24.77476143836975;24.77476143836975
57;;;;165.61006808280945;165.61006808280945;165.61006808280945;;;;;;;;;;;;;23.409716844558716;23.409716844558716;23.409716844558716;25.360629081726074;25.360629081726074;25.360629081726074
58;;;;173.1283814907074;173.1283814907074;173.1283814907074;;;;;;;;;;;;;24.501177310943604;24.501177310943604;24.501177310943604;26.026153564453125;26.026153564453125;26.026153564453125
59;;;;200.14297103881836;200.14297103881836;200.14297103881836;;;;;;;;;;;;;25.200990438461304;25.200990438461304;25.200990438461304;27.561355113983154;27.561355113983154;27.561355113983154
60;;;;288.6717462539673;288.6717462539673;288.6717462539673;;;;;;;;;;;;;27.81931710243225;27.81931710243225;27.81931710243225;28.241543531417847;28.241543531417847;28.241543531417847
61;;;;295.01219177246094;295.01219177246094;295.01219177246094;;;;;;;;;;;;;27.998619556427002;27.998619556427002;27.998619556427002;29.63448405265808;29.63448405265808;29.63448405265808
