n;ePMC;ePMCscaled;ePMCshifted;mcsta;mcstascaled;mcstashifted;Storm;Stormscaled;Stormshifted;Storm-static;Storm-staticscaled;Storm-staticshifted;PRISM;PRISMscaled;PRISMshifted
27;;;;292.29004740715027;292.29004740715027;292.29004740715027;17.32126760482788;17.32126760482788;17.32126760482788;15.528366327285767;15.528366327285767;15.528366327285767;65.42552495002747;65.42552495002747;65.42552495002747
28;;;;299.79538893699646;299.79538893699646;299.79538893699646;19.423076629638672;19.423076629638672;19.423076629638672;15.811761379241943;15.811761379241943;15.811761379241943;67.3196051120758;67.3196051120758;67.3196051120758
29;;;;554.3715498447418;554.3715498447418;554.3715498447418;20.77903938293457;20.77903938293457;20.77903938293457;20.642104864120483;20.642104864120483;20.642104864120483;91.473153591156;91.473153591156;91.473153591156
30;;;;788.1266028881073;788.1266028881073;788.1266028881073;23.670626878738403;23.670626878738403;23.670626878738403;20.71578359603882;20.71578359603882;20.71578359603882;95.56758618354797;95.56758618354797;95.56758618354797
31;;;;1433.4535908699036;1433.4535908699036;1433.4535908699036;26.02415657043457;26.02415657043457;26.02415657043457;23.80597162246704;23.80597162246704;23.80597162246704;96.93561959266663;96.93561959266663;96.93561959266663
32;;;;;;;32.29943537712097;32.29943537712097;32.29943537712097;31.299440145492554;31.299440145492554;31.299440145492554;99.64679265022278;99.64679265022278;99.64679265022278
33;;;;;;;32.46374273300171;32.46374273300171;32.46374273300171;31.525105476379395;31.525105476379395;31.525105476379395;99.85981130599976;99.85981130599976;99.85981130599976
34;;;;;;;34.00934982299805;34.00934982299805;34.00934982299805;32.444220542907715;32.444220542907715;32.444220542907715;147.040429353714;147.040429353714;147.040429353714
35;;;;;;;34.5739164352417;34.5739164352417;34.5739164352417;34.1780846118927;34.1780846118927;34.1780846118927;185.84221267700195;185.84221267700195;185.84221267700195
36;;;;;;;45.686034202575684;45.686034202575684;45.686034202575684;43.639577865600586;43.639577865600586;43.639577865600586;186.17752933502197;186.17752933502197;186.17752933502197
37;;;;;;;53.05412244796753;53.05412244796753;53.05412244796753;49.87902021408081;49.87902021408081;49.87902021408081;240.73267245292664;240.73267245292664;240.73267245292664
38;;;;;;;73.49217557907104;73.49217557907104;73.49217557907104;74.1528058052063;74.1528058052063;74.1528058052063;542.9539442062378;542.9539442062378;542.9539442062378
39;;;;;;;119.04714965820312;119.04714965820312;119.04714965820312;120.61619734764099;120.61619734764099;120.61619734764099;634.2974512577057;634.2974512577057;634.2974512577057
40;;;;;;;125.93564033508301;125.93564033508301;125.93564033508301;126.30804967880249;126.30804967880249;126.30804967880249;;;
41;;;;;;;153.45935201644897;153.45935201644897;153.45935201644897;186.26891350746155;186.26891350746155;186.26891350746155;;;
