id;Type;Storm-static;Storm-staticshifted;other;othershifted
wlan.5-0.sent;mdp;12.840407848358154;12.840407848358154;24.88311743736267;24.88311743736267
wlan.5-0.cost_min;mdp;17.072768688201904;17.072768688201904;3.546347141265869;3.546347141265869
wlan.6-0.sent;mdp;51.19405913352966;51.19405913352966;99.05307197570801;99.05307197570801
wlan.6-0.cost_min;mdp;72.52559161186218;72.52559161186218;3.5443286895751953;3.5443286895751953
zenotravel.4-2-2.goal;mdp;24.570918560028076;24.570918560028076;2.043485403060913;2.043485403060913
zeroconf.1000-8-false.correct_max;mdp;23.80597162246704;23.80597162246704;12.376911401748657;12.376911401748657
zeroconf.1000-8-false.correct_min;mdp;20.71578359603882;20.71578359603882;1.2021286487579346;1.2021286487579346
bitcoin-attack.20-6.P_MWinMax;ma;0.06034135818481445;0.3;0.589979887008667;1
cabinets.3-2-true.Unavailability;ma;56.88949704170227;56.88949704170227;63.266063928604126;63.266063928604126
cabinets.3-2-true.Unreliability;ma;37.73813796043396;37.73813796043396;29.431943893432617;29.431943893432617
dpm.4-8-5.PmaxQueuesFullBound;ma;45.90375065803528;45.90375065803528;76.84921026229858;76.84921026229858
dpm.6-6-5.PminQueue1Full;ma;57.383718967437744;57.383718967437744;25.04800844192505;25.04800844192505
ftpp.2-2-true.Unavailability;ma;4000;4000;46.96740245819092;46.96740245819092
ftwc.8-5.TimeMax;ma;16000;16000;4000;4000
ftwc.8-5.TimeMin;ma;16000;16000;4000;4000
hecs.false-1-1.Unreliability;ma;0.06630277633666992;0.3;1.6118519306182861;1.6118519306182861
hecs.false-2-2.Unreliability;ma;0.0995478630065918;0.3;131.3851716518402;131.3851716518402
hecs.false-3-2.Unreliability;ma;0.3431873321533203;0.3431873321533203;4000;4000
readers-writers.40.exp_time_many_requests;ma;28.31005334854126;28.31005334854126;19.199933528900146;19.199933528900146
readers-writers.40.prtb_many_requests;ma;463.17513632774353;463.17513632774353;4000;4000
sms.3-true.Unreliability;ma;0.07272958755493164;0.3;0.7864203453063965;1
sms.3-true.Unavailability;ma;14.75306510925293;14.75306510925293;3.4535748958587646;3.4535748958587646
stream.1000.exp_buffertime;ma;11.066964626312256;11.066964626312256;162.45264649391174;162.45264649391174
stream.1000.pr_underrun;ma;2.6911981105804443;2.6911981105804443;1.3950080871582031;1.3950080871582031
stream.1000.pr_underrun_tb;ma;7.895191431045532;7.895191431045532;14.35648226737976;14.35648226737976
vgs.5-10000.MaxPrReachFailedTB;ma;0.16817975044250488;0.3;4000;4000
vgs.5-10000.MinExpTimeFailed;ma;0.1687946319580078;0.3;4000;4000
firewire-pta.30-5000.eventually;pta;57.18780016899109;57.18780016899109;1.4320857524871826;1.4320857524871826
wlan-large.2.E_or;pta;46.4829204082489;46.4829204082489;20.75012493133545;20.75012493133545
wlan-large.2.P_max;pta;9.297359704971313;9.297359704971313;4.882536888122559;4.882536888122559
zeroconf-pta.200.incorrect;pta;0.3787529468536377;0.3787529468536377;0.5905470848083496;1
