n;mcsta;mcstascaled;mcstashifted;PET;PETscaled;PETshifted;PRISM;PRISMscaled;PRISMshifted;Storm-static;Storm-staticscaled;Storm-staticshifted;Storm;Stormscaled;Stormshifted
64;788.7622807025909;788.7622807025909;788.7622807025909;;;;;;;42.30743622779846;42.30743622779846;42.30743622779846;45.967488288879395;45.967488288879395;45.967488288879395
65;1305.7944250106812;1305.7944250106812;1305.7944250106812;;;;;;;43.855814933776855;43.855814933776855;43.855814933776855;47.67122411727905;47.67122411727905;47.67122411727905
66;1412.378526210785;1412.378526210785;1412.378526210785;;;;;;;46.1478066444397;46.1478066444397;46.1478066444397;47.855623960494995;47.855623960494995;47.855623960494995
67;;;;;;;;;;48.22420382499695;48.22420382499695;48.22420382499695;48.89045023918152;48.89045023918152;48.89045023918152
68;;;;;;;;;;57.09825539588928;57.09825539588928;57.09825539588928;56.999635219573975;56.999635219573975;56.999635219573975
69;;;;;;;;;;57.566176891326904;57.566176891326904;57.566176891326904;57.49496579170227;57.49496579170227;57.49496579170227
70;;;;;;;;;;58.33520221710205;58.33520221710205;58.33520221710205;59.10942077636719;59.10942077636719;59.10942077636719
71;;;;;;;;;;59.000834941864014;59.000834941864014;59.000834941864014;59.35201954841614;59.35201954841614;59.35201954841614
72;;;;;;;;;;65.05634808540344;65.05634808540344;65.05634808540344;65.37557935714722;65.37557935714722;65.37557935714722
73;;;;;;;;;;65.33126592636108;65.33126592636108;65.33126592636108;65.38141775131226;65.38141775131226;65.38141775131226
74;;;;;;;;;;68.44365859031677;68.44365859031677;68.44365859031677;68.40957522392273;68.40957522392273;68.40957522392273
75;;;;;;;;;;72.56280946731567;72.56280946731567;72.56280946731567;73.31355834007263;73.31355834007263;73.31355834007263
76;;;;;;;;;;102.94191694259644;102.94191694259644;102.94191694259644;105.54289889335632;105.54289889335632;105.54289889335632
77;;;;;;;;;;175.18121123313904;175.18121123313904;175.18121123313904;174.51093459129333;174.51093459129333;174.51093459129333
78;;;;;;;;;;189.28172898292542;189.28172898292542;189.28172898292542;208.13939428329468;208.13939428329468;208.13939428329468
79;;;;;;;;;;193.01730251312256;193.01730251312256;193.01730251312256;210.66841912269592;210.66841912269592;210.66841912269592
80;;;;;;;;;;229.47280192375183;229.47280192375183;229.47280192375183;235.37866401672363;235.37866401672363;235.37866401672363
81;;;;;;;;;;251.73936486244202;251.73936486244202;251.73936486244202;252.2085886001587;252.2085886001587;252.2085886001587
82;;;;;;;;;;258.62869787216187;258.62869787216187;258.62869787216187;259.62618041038513;259.62618041038513;259.62618041038513
83;;;;;;;;;;552.077342748642;552.077342748642;552.077342748642;457.11889815330505;457.11889815330505;457.11889815330505
84;;;;;;;;;;581.1152684688568;581.1152684688568;581.1152684688568;544.5254518985748;544.5254518985748;544.5254518985748
85;;;;;;;;;;1238.8674402236938;1238.8674402236938;1238.8674402236938;932.2671298980713;932.2671298980713;932.2671298980713
86;;;;;;;;;;1495.696308851242;1495.696308851242;1495.696308851242;1398.2003831863403;1398.2003831863403;1398.2003831863403
87;;;;;;;;;;;;;;;
88;;;;;;;;;;;;;;;
89;;;;;;;;;;;;;;;
90;;;;;;;;;;;;;;;
91;;;;;;;;;;;;;;;
92;;;;;;;;;;;;;;;
93;;;;;;;;;;;;;;;
94;;;;;;;;;;;;;;;
95;;;;;;;;;;;;;;;
96;;;;;;;;;;;;;;;
97;;;;;;;;;;;;;;;
98;;;;;;;;;;;;;;;
99;;;;;;;;;;;;;;;
100;;;;;;;;;;;;;;;
